code,name,year,score
E23000011,South Yorkshire,2003,18.597014693094483
E23000011,South Yorkshire,2004,15.533076655704233
E23000011,South Yorkshire,2005,14.17528990760208
E23000011,South Yorkshire,2006,16.001071781027427
E23000011,South Yorkshire,2007,15.381600347499823
E23000011,South Yorkshire,2008,14.057809770825209
E23000011,South Yorkshire,2009,12.345378442630352
E23000011,South Yorkshire,2010,11.07542827670236
E23000011,South Yorkshire,2011,10.496777821373145
E23000011,South Yorkshire,2012,10.20107407637784
E23000011,South Yorkshire,2013,10.310327004607819
E23000011,South Yorkshire,2014,10.913095281059926
E23000011,South Yorkshire,2015,11.758586851738212
E23000011,South Yorkshire,2016,12.481891761704102
E23000011,South Yorkshire,2017,15.715720567455532
E23000011,South Yorkshire,2018,18.09494807613552
E23000011,South Yorkshire,2019,19.198009326582206
E23000011,South Yorkshire,2020,19.83112741786901
E23000011,South Yorkshire,2021,17.66944223997456
E23000011,South Yorkshire,2022,20.18476058551333
E23000011,South Yorkshire,2023,21.46077314789334
E23000010,West Yorkshire,2003,24.42340953423259
E23000010,West Yorkshire,2004,22.84381248162179
E23000010,West Yorkshire,2005,17.08479707398906
E23000010,West Yorkshire,2006,16.712016189183576
E23000010,West Yorkshire,2007,16.333605191667154
E23000010,West Yorkshire,2008,15.695987918931896
E23000010,West Yorkshire,2009,15.167517415623513
E23000010,West Yorkshire,2010,14.710183390526442
E23000010,West Yorkshire,2011,13.706973920119108
E23000010,West Yorkshire,2012,12.515101351917732
E23000010,West Yorkshire,2013,11.180925776814519
E23000010,West Yorkshire,2014,10.811345267402139
E23000010,West Yorkshire,2015,11.787926937687875
E23000010,West Yorkshire,2016,14.883050109416757
E23000010,West Yorkshire,2017,17.037910931222697
E23000010,West Yorkshire,2018,21.111415942594384
E23000010,West Yorkshire,2019,22.96801803260719
E23000010,West Yorkshire,2020,21.171686580402035
E23000010,West Yorkshire,2021,18.45681002035863
E23000010,West Yorkshire,2022,20.836502231174684
E23000010,West Yorkshire,2023,22.145948025578402
E23000018,Derbyshire,2003,15.093331766586225
E23000018,Derbyshire,2004,14.571324294305967
E23000018,Derbyshire,2005,12.188651719056466
E23000018,Derbyshire,2006,11.034308313281633
E23000018,Derbyshire,2007,11.08453234038768
E23000018,Derbyshire,2008,10.269926803703122
E23000018,Derbyshire,2009,9.477470187367603
E23000018,Derbyshire,2010,9.061495757413603
E23000018,Derbyshire,2011,8.83982660783723
E23000018,Derbyshire,2012,7.537248319571005
E23000018,Derbyshire,2013,6.901109971100869
E23000018,Derbyshire,2014,7.562859353276044
E23000018,Derbyshire,2015,7.86821810521853
E23000018,Derbyshire,2016,8.905893615763993
E23000018,Derbyshire,2017,9.516443490400421
E23000018,Derbyshire,2018,10.983241638474441
E23000018,Derbyshire,2019,12.611309009529485
E23000018,Derbyshire,2020,14.341619387499149
E23000018,Derbyshire,2021,13.240475555495184
E23000018,Derbyshire,2022,14.811614818213931
E23000018,Derbyshire,2023,15.159197609299099
E23000021,Leicestershire,2003,13.656041607490721
E23000021,Leicestershire,2004,14.465191187361183
E23000021,Leicestershire,2005,14.618478894731469
E23000021,Leicestershire,2006,12.884737537866405
E23000021,Leicestershire,2007,12.934050174121106
E23000021,Leicestershire,2008,12.152112020081248
E23000021,Leicestershire,2009,11.553477517488883
E23000021,Leicestershire,2010,10.581401429142858
E23000021,Leicestershire,2011,8.551256722135625
E23000021,Leicestershire,2012,8.216459650866286
E23000021,Leicestershire,2013,7.646108771143983
E23000021,Leicestershire,2014,8.344977742674308
E23000021,Leicestershire,2015,8.564693053919187
E23000021,Leicestershire,2016,9.001939474561679
E23000021,Leicestershire,2017,10.437003883436608
E23000021,Leicestershire,2018,13.061891965886588
E23000021,Leicestershire,2019,14.146132705472317
E23000021,Leicestershire,2020,14.765565719487531
E23000021,Leicestershire,2021,14.516473852877738
E23000021,Leicestershire,2022,16.687258079404195
E23000021,Leicestershire,2023,17.517850285503183
E23000020,Lincolnshire,2003,12.264683376504863
E23000020,Lincolnshire,2004,11.572472272299565
E23000020,Lincolnshire,2005,10.443547367597189
E23000020,Lincolnshire,2006,9.791918593115737
E23000020,Lincolnshire,2007,8.994688573824982
E23000020,Lincolnshire,2008,8.171483920786933
E23000020,Lincolnshire,2009,8.039435073122531
E23000020,Lincolnshire,2010,7.463270155469934
E23000020,Lincolnshire,2011,7.813595912397059
E23000020,Lincolnshire,2012,7.379139087929864
E23000020,Lincolnshire,2013,6.715020998557426
E23000020,Lincolnshire,2014,6.603003572984439
E23000020,Lincolnshire,2015,7.446558475467304
E23000020,Lincolnshire,2016,8.380199428373011
E23000020,Lincolnshire,2017,8.719985302867464
E23000020,Lincolnshire,2018,10.786971997402913
E23000020,Lincolnshire,2019,13.079081861218578
E23000020,Lincolnshire,2020,14.47560723468664
E23000020,Lincolnshire,2021,12.337661847527606
E23000020,Lincolnshire,2022,14.11920418867823
E23000020,Lincolnshire,2023,14.987792624882607
E23000022,Northamptonshire,2003,15.230095320091843
E23000022,Northamptonshire,2004,16.642299216077316
E23000022,Northamptonshire,2005,14.879571261995892
E23000022,Northamptonshire,2006,14.512942699749852
